| Team Name                      | School                                                |   # Solved |   Penalty |
| Awkward Party                  | Liberty University                                    |          2 |       157 |
| Material Girls                 | Ohio State University                                 |          2 |       163 |
| hirenkumawat                   | Georgia Institute of Technology                       |          2 |       174 |
| Big Code Energy                | Shippensburg University of Pennsylvania               |          2 |       174 |
| cantcode                       | Ohio State University                                 |          2 |       178 |
| wildcat5                       | California State University, Chico                    |          2 |       179 |
| Galaxus                        | University of British Columbia                        |          2 |       179 |
| UTM-Team6                      | University of Tennessee at Martin                     |          2 |       179 |
| Alberta Violet                 | University of Alberta                                 |          2 |       183 |
| Western Purple                 | Western University                                    |          2 |       186 |
| Benjamin_Mueller               | Washington University in St. Louis                    |          2 |       208 |
| Solo Q                         | Western University                                    |          2 |       208 |
| Not IT Support                 | McGill University                                     |          2 |       210 |
| Joe_Pan                        | Washington University in St. Louis                    |          2 |       213 |
| Fire breathing beasts          | University of Lethbridge                              |          2 |       246 |
| team 8                         | Duke University                                       |          2 |       249 |
| YYDS                           | Ohio State University                                 |          2 |       256 |
| Amanda and the Jasons          | Ohio State University                                 |          2 |       258 |
| Alan_Shao                      | Washington University in St. Louis                    |          2 |       272 |
| team5                          | Indiana State University                              |          2 |       281 |
| wildcat4                       | California State University, Chico                    |          2 |       283 |
| xXHeapifyXx                    | Florida International University                      |          2 |       284 |
| UNCG Team 1                    | University of North Carolina at Greensboro            |          2 |       285 |
| Joshua                         | Purdue University                                     |          2 |       308 |
| AleVeccFIU                     | Florida International University                      |          2 |       318 |
| JL                             | University of Michigan                                |          2 |       319 |
| Golden Rams 3                  | West Chester University                               |          2 |       322 |
| UCSD Team 28                   | University of California, San Diego                   |          2 |       326 |
| Murtaza                        | Georgia Institute of Technology                       |          2 |       343 |
| Queens In STEM                 | Dakota State University                               |          2 |       348 |
| CUCBatSamurais                 | Concordia University Chicago                          |          2 |       358 |
